hotel_name,hotel_city,cleanliness_score,room_score,service_score,location_score,value_score,safety_score,comfort_score,transportation_score,noise_score
can_montreal_aloft_montreal_airport,montreal,2.9923765268848608,4.26529939004566,3.889209335858811,3.9300378989907316,3.257044997247898,3.0779968393269956,4.606086926001119,3.6530849316232006,2.4244423213750412
can_montreal_auberge_bonaparte,montreal,3.676493085211678,4.53195267271337,4.62503362379911,3.741395128203995,3.1319662274105933,3.0346500718520435,3.939729543704165,3.7613521981124127,2.192124001243428
can_montreal_auberge_du_vieux_port,montreal,2.6245843209249706,4.103527591222829,4.295616001241891,3.6393848833963434,2.365044387480472,2.9250291719571377,3.4182761627812894,3.388079443908875,2.707662731042965
can_montreal_auberge_le_pomerol,montreal,3.373002625601293,3.8424432631804946,3.3627125003993763,3.6554670443332102,3.2866572567658903,2.616352219804834,2.9877747380474147,3.5458527820339096,1.5369710976211999
can_montreal_auberge_ywca_hotel,montreal,3.7059935827477677,3.622440516767508,2.851814988587325,3.6726056744592763,1.985163886082689,4.105923610831008,2.326937221971476,4.164705187506096,1.674440091462181
can_montreal_best_western_europa_downtown,montreal,2.956226989078764,3.3929579962780467,3.190172408253606,3.4834283223837983,2.608720441784609,3.2624298047473888,2.1953918895616025,3.1108103776670815,1.936013219779428
can_montreal_best_western_ville_marie_hotel_suite,montreal,3.1741926112147096,3.337677369969948,3.2903175250413144,3.411333123972524,2.544506826702592,2.8144659838083093,3.552647103548682,3.305897797358239,1.7127385948654081
can_montreal_candlewood_suites_montreal_centre_ville,montreal,3.1850741814669288,3.9370893720882325,3.4621644256326025,3.5967597256505837,2.5036463599168535,3.336121383014394,3.4208860007571897,3.404282873814108,1.9722961773397318
can_montreal_chateau_de_l_argoat,montreal,3.85827578534121,4.445239980585232,4.553457260781559,4.061259596962405,3.0084325467735087,3.262011204114924,3.582341004196526,4.243751476483,2.0720860451084593
can_montreal_chateau_versailles,montreal,3.229350730425304,3.954361876837558,4.140125436079305,3.7681930342982026,2.4113066094342317,3.0731155046941048,3.6359029671757557,3.629674298569198,2.055501099204711
can_montreal_clarion_hotel_suites_downtown,montreal,2.7171322307499746,2.8468184681082898,2.5100565073758867,2.883356369360576,2.6475459980608074,2.906382305044536,2.9023425458347254,2.8903626187627403,1.5915494458172132
